N°,Periodo,PUNTAJE_ICFES,PUNTAJE_PONDERADO,ESTADO
711,2021-1,314.00,62.30,NO
712,2021-1,310.00,62.30,NO
713,2021-1,307.00,62.30,NO
714,2021-1,320.00,62.20,NO
715,2021-1,317.00,62.15,NO
716,2021-1,317.00,62.15,NO
717,2021-1,314.00,62.15,NO
718,2021-1,307.00,62.15,NO
719,2021-1,306.00,62.15,NO
720,2021-1,319.00,62.10,NO
721,2021-1,312.00,62.10,NO
722,2021-1,305.00,62.10,NO
723,2021-1,297.00,62.10,NO
724,2021-1,312.00,62.05,NO
725,2021-1,309.00,62.05,NO
726,2021-1,306.00,62.05,NO
727,2021-1,305.00,62.05,NO
728,2021-1,303.00,62.05,NO
729,2021-1,302.00,62.05,NO
730,2021-1,302.00,62.05,NO
731,2021-1,312.00,62.00,NO
732,2021-1,307.00,62.00,NO
733,2021-1,319.00,61.95,NO
734,2021-1,310.00,61.95,NO
735,2021-1,305.00,61.95,NO
736,2021-1,295.00,61.95,NO
737,2021-1,315.00,61.90,NO
738,2021-1,315.00,61.90,NO
739,2021-1,312.00,61.90,NO
740,2021-1,307.00,61.90,NO
741,2021-1,298.00,61.90,NO
742,2021-1,298.00,61.90,NO
743,2021-1,314.00,61.85,NO
744,2021-1,311.00,61.85,NO
745,2021-1,309.00,61.85,NO
746,2021-1,323.00,61.80,NO
747,2021-1,312.00,61.80,NO
748,2021-1,302.00,61.80,NO
749,2021-1,305.00,61.75,NO
750,2021-1,305.00,61.75,NO
751,2021-1,309.00,61.70,NO
752,2021-1,308.00,61.70,NO
753,2021-1,307.00,61.70,NO
754,2021-1,326.00,61.65,NO
755,2021-1,315.00,61.65,NO
756,2021-1,309.00,61.65,NO
757,2021-1,308.00,61.65,NO
758,2021-1,305.00,61.65,NO
759,2021-1,313.00,61.60,NO
760,2021-1,310.00,61.60,NO
761,2021-1,310.00,61.60,NO
762,2021-1,307.00,61.55,NO
763,2021-1,306.00,61.55,NO
764,2021-1,310.00,61.50,NO
765,2021-1,309.00,61.50,NO
766,2021-1,308.00,61.50,NO
767,2021-1,303.00,61.50,NO
768,2021-1,299.00,61.50,NO
769,2021-1,312.00,61.45,NO
770,2021-1,310.00,61.40,NO
771,2021-1,301.00,61.40,NO
772,2021-1,300.00,61.40,NO
773,2021-1,297.00,61.40,NO
774,2021-1,300.00,61.35,NO
775,2021-1,300.00,61.35,NO
776,2021-1,302.00,61.30,NO
777,2021-1,314.00,61.25,NO
778,2021-1,304.00,61.25,NO
779,2021-1,299.00,61.25,NO
780,2021-1,304.00,61.20,NO
781,2021-1,303.00,61.20,NO
782,2021-1,291.00,61.20,NO
783,2021-1,316.00,61.15,NO
784,2021-1,312.00,61.15,NO
785,2021-1,308.00,61.15,NO
786,2021-1,302.00,61.15,NO
787,2021-1,299.00,61.15,NO
788,2021-1,312.00,61.10,NO
789,2021-1,292.00,61.10,NO
790,2021-1,311.00,61.05,NO
791,2021-1,301.00,61.05,NO
792,2021-1,295.00,61.05,NO
793,2021-1,313.00,61.00,NO
794,2021-1,310.00,60.95,NO
795,2021-1,305.00,60.95,NO
796,2021-1,317.00,60.90,NO
797,2021-1,310.00,60.90,NO
798,2021-1,302.00,60.90,NO
799,2021-1,298.00,60.90,NO
800,2021-1,305.00,60.85,NO
801,2021-1,305.00,60.85,NO
802,2021-1,300.00,60.80,NO
803,2021-1,307.00,60.75,NO
804,2021-1,306.00,60.75,NO
805,2021-1,305.00,60.75,NO
806,2021-1,301.00,60.75,NO
807,2021-1,299.00,60.75,NO
808,2021-1,307.00,60.70,NO
809,2021-1,301.00,60.70,NO
810,2021-1,301.00,60.70,NO
811,2021-1,308.00,60.65,NO
812,2021-1,295.00,60.65,NO
813,2021-1,291.00,60.65,NO
814,2021-1,302.00,60.60,NO
815,2021-1,295.00,60.60,NO
816,2021-1,303.00,60.55,NO
817,2021-1,301.00,60.55,NO
818,2021-1,297.00,60.55,NO
819,2021-1,308.00,60.50,NO
820,2021-1,306.00,60.50,NO
821,2021-1,303.00,60.50,NO
822,2021-1,298.00,60.50,NO
823,2021-1,294.00,60.50,NO
824,2021-1,309.00,60.45,NO
825,2021-1,307.00,60.45,NO
826,2021-1,303.00,60.45,NO
827,2021-1,298.00,60.45,NO
828,2021-1,300.00,60.40,NO
829,2021-1,307.00,60.35,NO
830,2021-1,298.00,60.35,NO
831,2021-1,297.00,60.35,NO
832,2021-1,290.00,60.35,NO
833,2021-1,300.00,60.30,NO
834,2021-1,295.00,60.30,NO
835,2021-1,301.00,60.25,NO
836,2021-1,293.00,60.25,NO
837,2021-1,282.00,60.25,NO
838,2021-1,293.00,60.15,NO
839,2021-1,297.00,60.10,NO
840,2021-1,282.00,60.10,NO
841,2021-1,299.00,60.05,NO
842,2021-1,293.00,60.05,NO
843,2021-1,304.00,60.00,NO
844,2021-1,303.00,60.00,NO
845,2021-1,300.00,60.00,NO
846,2021-1,296.00,60.00,NO
847,2021-1,289.00,60.00,NO
848,2021-1,309.00,59.95,NO
849,2021-1,305.00,59.95,NO
850,2021-1,301.00,59.95,NO
851,2021-1,300.00,59.90,NO
852,2021-1,298.00,59.90,NO
853,2021-1,310.00,59.85,NO
854,2021-1,308.00,59.85,NO
855,2021-1,304.00,59.85,NO
856,2021-1,310.00,59.80,NO
857,2021-1,298.00,59.80,NO
858,2021-1,312.00,59.75,NO
859,2021-1,309.00,59.75,NO
860,2021-1,302.00,59.75,NO
861,2021-1,302.00,59.75,NO
862,2021-1,300.00,59.75,NO
863,2021-1,291.00,59.75,NO
864,2021-1,288.00,59.75,NO
865,2021-1,280.00,59.75,NO
866,2021-1,303.00,59.70,NO
867,2021-1,300.00,59.70,NO
868,2021-1,313.00,59.65,NO
869,2021-1,300.00,59.65,NO
870,2021-1,298.00,59.65,NO
871,2021-1,292.00,59.65,NO
872,2021-1,296.00,59.60,NO
873,2021-1,287.00,59.60,NO
874,2021-1,306.00,59.55,NO
875,2021-1,303.00,59.55,NO
876,2021-1,301.00,59.55,NO
877,2021-1,299.00,59.55,NO
878,2021-1,295.00,59.55,NO
879,2021-1,298.00,59.45,NO
880,2021-1,293.00,59.45,NO
881,2021-1,293.00,59.45,NO
882,2021-1,292.00,59.45,NO
883,2021-1,295.00,59.40,NO
884,2021-1,294.00,59.40,NO
885,2021-1,294.00,59.40,NO
886,2021-1,290.00,59.40,NO
887,2021-1,287.00,59.40,NO
888,2021-1,307.00,59.35,NO
889,2021-1,293.00,59.35,NO
890,2021-1,288.00,59.35,NO
891,2021-1,305.00,59.30,NO
892,2021-1,302.00,59.30,NO
893,2021-1,295.00,59.30,NO
894,2021-1,294.00,59.30,NO
895,2021-1,299.00,59.25,NO
896,2021-1,285.00,59.25,NO
897,2021-1,293.00,59.20,NO
898,2021-1,285.00,59.20,NO
899,2021-1,305.00,59.15,NO
900,2021-1,296.00,59.15,NO
901,2021-1,290.00,59.15,NO
902,2021-1,302.00,59.10,NO
903,2021-1,297.00,59.10,NO
904,2021-1,286.00,59.10,NO
905,2021-1,305.00,59.00,NO
906,2021-1,298.00,59.00,NO
907,2021-1,297.00,59.00,NO
908,2021-1,296.00,58.95,NO
909,2021-1,284.00,58.95,NO
910,2021-1,288.00,58.90,NO
911,2021-1,298.00,58.85,NO
912,2021-1,297.00,58.75,NO
913,2021-1,293.00,58.75,NO
914,2021-1,289.00,58.75,NO
915,2021-1,286.00,58.70,NO
916,2021-1,283.00,58.70,NO
917,2021-1,293.00,58.60,NO
918,2021-1,296.00,58.55,NO
919,2021-1,287.00,58.55,NO
920,2021-1,297.00,58.50,NO
921,2021-1,293.00,58.50,NO
922,2021-1,282.00,58.50,NO
923,2021-1,295.00,58.45,NO
924,2021-1,290.00,58.45,NO
925,2021-1,281.00,58.45,NO
926,2021-1,281.00,58.45,NO
927,2021-1,280.00,58.45,NO
928,2021-1,299.00,58.40,NO
929,2021-1,290.00,58.40,NO
930,2021-1,297.00,58.35,NO
931,2021-1,288.00,58.35,NO
932,2021-1,297.00,58.30,NO
933,2021-1,300.00,58.25,NO
934,2021-1,291.00,58.25,NO
935,2021-1,284.00,58.20,NO
936,2021-1,298.00,58.15,NO
937,2021-1,293.00,58.15,NO
938,2021-1,292.00,58.15,NO
939,2021-1,290.00,58.15,NO
940,2021-1,283.00,58.15,NO
941,2021-1,281.00,58.15,NO
942,2021-1,306.00,58.10,NO
943,2021-1,296.00,58.10,NO
944,2021-1,291.00,58.10,NO
945,2021-1,292.00,58.05,NO
946,2021-1,291.00,58.00,NO
947,2021-1,291.00,58.00,NO
948,2021-1,288.00,57.85,NO
949,2021-1,289.00,57.80,NO
950,2021-1,287.00,57.80,NO
951,2021-1,287.00,57.80,NO
952,2021-1,286.00,57.80,NO
953,2021-1,295.00,57.75,NO
954,2021-1,280.00,57.75,NO
955,2021-1,280.00,57.70,NO
956,2021-1,290.00,57.65,NO
957,2021-1,281.00,57.65,NO
958,2021-1,291.00,57.60,NO
959,2021-1,289.00,57.60,NO
960,2021-1,288.00,57.55,NO
961,2021-1,286.00,57.55,NO
962,2021-1,286.00,57.55,NO
963,2021-1,288.00,57.50,NO
964,2021-1,288.00,57.45,NO
965,2021-1,286.00,57.40,NO
966,2021-1,310.00,57.35,NO
967,2021-1,292.00,57.35,NO
968,2021-1,292.00,57.35,NO
969,2021-1,295.00,57.30,NO
970,2021-1,287.00,57.30,NO
971,2021-1,280.00,57.30,NO
972,2021-1,280.00,57.30,NO
973,2021-1,292.00,57.25,NO
974,2021-1,290.00,57.20,NO
975,2021-1,289.00,57.15,NO
976,2021-1,298.00,57.10,NO
977,2021-1,294.00,57.10,NO
978,2021-1,291.00,57.10,NO
979,2021-1,285.00,57.10,NO
980,2021-1,298.00,57.05,NO
981,2021-1,285.00,57.05,NO
982,2021-1,288.00,56.95,NO
983,2021-1,282.00,56.95,NO
984,2021-1,283.00,56.80,NO
985,2021-1,282.00,56.75,NO
986,2021-1,292.00,56.70,NO
987,2021-1,283.00,56.70,NO
988,2021-1,289.00,56.50,NO
989,2021-1,282.00,56.45,NO
990,2021-1,281.00,56.45,NO
991,2021-1,287.00,56.40,NO
992,2021-1,285.00,56.30,NO
993,2021-1,281.00,56.30,NO
994,2021-1,285.00,56.15,NO
995,2021-1,281.00,56.15,NO
996,2021-1,286.00,55.80,NO
997,2021-1,285.00,55.60,NO
998,2021-1,280.00,55.55,NO
999,2021-1,288.00,55.30,NO
1000,2021-1,286.00,55.15,NO
1001,2021-1,282.00,55.15,NO
1002,2021-1,282.00,55.05,NO
1003,2021-1,288.00,54.95,NO
1004,2021-1,280.00,54.70,NO
1005,2021-1,287.00,54.45,NO
1006,2021-1,282.00,54.30,NO
