Periodo,PUNTAJE_ICFES,PUNTAJE_PONDERADO,ESTADO
2018-1,358.00,69.95,INHABILITADO
2018-1,346.00,69.95,OPCIONADO
2018-1,341.00,69.95,OPCIONADO
2018-1,352.00,69.95,OPCIONADO
2018-1,348.00,69.90,OPCIONADO
2018-1,342.00,69.90,OPCIONADO
2018-1,347.00,69.90,OPCIONADO
2018-1,363.00,69.90,OPCIONADO
2018-1,352.00,69.80,OPCIONADO
2018-1,347.00,69.80,OPCIONADO
2018-1,338.00,69.75,OPCIONADO
2018-1,347.00,69.75,OPCIONADO
2018-1,342.00,69.70,OPCIONADO
2018-1,348.00,69.70,OPCIONADO
2018-1,334.00,69.70,OPCIONADO
2018-1,349.00,69.70,OPCIONADO
2018-1,341.00,69.70,OPCIONADO
2018-1,358.00,69.65,OPCIONADO
2018-1,352.00,69.65,OPCIONADO
2018-1,347.00,69.65,OPCIONADO
2018-1,342.00,69.65,OPCIONADO
2018-1,339.00,69.60,OPCIONADO
2018-1,350.00,69.60,OPCIONADO
2018-1,335.00,69.60,OPCIONADO
2018-1,357.00,69.60,OPCIONADO
2018-1,341.00,69.60,OPCIONADO
2018-1,354.00,69.55,OPCIONADO
2018-1,355.00,69.55,OPCIONADO
2018-1,347.00,69.50,OPCIONADO
2018-1,342.00,69.50,OPCIONADO
2018-1,341.00,69.50,OPCIONADO
2018-1,352.00,69.50,OPCIONADO
2018-1,344.00,69.50,OPCIONADO
2018-1,348.00,69.50,OPCIONADO
2018-1,347.00,69.50,OPCIONADO
2018-1,340.00,69.45,OPCIONADO
2018-1,339.00,69.45,OPCIONADO
2018-1,339.00,69.45,OPCIONADO
2018-1,342.00,69.45,OPCIONADO
2018-1,341.00,69.40,OPCIONADO
2018-1,342.00,69.40,OPCIONADO
2018-1,346.00,69.40,OPCIONADO
2018-1,344.00,69.40,OPCIONADO
2018-1,336.00,69.40,OPCIONADO
2018-1,344.00,69.35,NO
2018-1,347.00,69.35,NO
2018-1,346.00,69.30,NO
2018-1,353.00,69.30,NO
2018-1,332.00,69.30,NO
2018-1,346.00,69.25,NO
2018-1,350.00,69.25,NO
2018-1,345.00,69.25,NO
2018-1,340.00,69.25,NO
2018-1,342.00,69.20,NO
2018-1,344.00,69.15,NO
2018-1,339.00,69.10,NO
2018-1,341.00,69.10,NO
2018-1,356.00,69.10,NO
2018-1,333.00,69.00,NO
2018-1,350.00,68.95,NO
2018-1,346.00,68.95,NO
2018-1,347.00,68.95,NO
2018-1,336.00,68.95,NO
2018-1,352.00,68.90,NO
2018-1,342.00,68.90,NO
2018-1,342.00,68.90,NO
2018-1,325.00,68.85,NO
2018-1,346.00,68.85,NO
2018-1,337.00,68.85,NO
2018-1,347.00,68.80,NO
2018-1,344.00,68.80,NO
2018-1,343.00,68.70,NO
2018-1,349.00,68.70,NO
2018-1,342.00,68.70,NO
2018-1,341.00,68.70,NO
2018-1,347.00,68.70,NO
2018-1,338.00,68.60,NO
2018-1,336.00,68.60,NO
2018-1,350.00,68.60,NO
2018-1,342.00,68.60,NO
2018-1,348.00,68.60,NO
2018-1,340.00,68.60,NO
2018-1,338.00,68.55,NO
2018-1,345.00,68.55,NO
2018-1,344.00,68.55,NO
2018-1,340.00,68.55,NO
2018-1,337.00,68.50,NO
2018-1,344.00,68.50,NO
2018-1,335.00,68.50,NO
2018-1,338.00,68.50,NO
2018-1,341.00,68.45,NO
2018-1,344.00,68.45,NO
2018-1,355.00,68.45,NO
2018-1,345.00,68.45,NO
2018-1,342.00,68.40,NO
2018-1,336.00,68.35,NO
2018-1,314.00,68.35,NO
2018-1,332.00,68.35,NO
2018-1,344.00,68.35,NO
2018-1,346.00,68.35,NO
2018-1,340.00,68.35,NO
2018-1,342.00,68.30,NO
2018-1,340.00,68.30,NO
2018-1,340.00,68.30,NO
2018-1,348.00,68.25,NO
2018-1,335.00,68.25,NO
2018-1,328.00,68.20,NO
2018-1,338.00,68.20,NO
2018-1,328.00,68.20,NO
2018-1,339.00,68.20,NO
2018-1,328.00,68.15,NO
2018-1,343.00,68.15,NO
2018-1,337.00,68.15,NO
2018-1,338.00,68.15,NO
2018-1,347.00,68.15,NO
2018-1,343.00,68.10,NO
2018-1,332.00,68.10,NO
2018-1,342.00,68.10,NO
2018-1,344.00,68.10,NO
2018-1,341.00,68.10,NO
2018-1,342.00,68.10,NO
2018-1,334.00,68.05,NO
2018-1,338.00,68.05,NO
2018-1,344.00,68.05,NO
2018-1,338.00,68.05,NO
2018-1,341.00,68.05,NO
2018-1,337.00,68.05,NO
2018-1,335.00,68.00,NO
2018-1,340.00,68.00,NO
2018-1,340.00,68.00,NO
2018-1,353.00,68.00,NO
2018-1,335.00,68.00,NO
2018-1,335.00,68.00,NO
2018-1,345.00,68.00,NO
2018-1,338.00,67.95,NO
2018-1,327.00,67.95,NO
2018-1,328.00,67.90,NO
2018-1,327.00,67.90,NO
2018-1,336.00,67.90,NO
2018-1,341.00,67.90,NO
2018-1,332.00,67.90,NO
2018-1,335.00,67.90,NO
2018-1,331.00,67.90,NO
2018-1,334.00,67.85,NO
2018-1,336.00,67.85,NO
2018-1,337.00,67.85,NO
2018-1,333.00,67.85,NO
2018-1,340.00,67.80,NO
2018-1,337.00,67.80,NO
2018-1,334.00,67.80,NO
2018-1,338.00,67.80,NO
2018-1,341.00,67.75,NO
2018-1,343.00,67.70,NO
2018-1,338.00,67.70,NO
2018-1,338.00,67.70,NO
2018-1,339.00,67.70,NO
2018-1,328.00,67.70,NO
2018-1,326.00,67.70,NO
2018-1,334.00,67.65,NO
2018-1,328.00,67.65,NO
2018-1,337.00,67.65,NO
2018-1,337.00,67.60,NO
2018-1,336.00,67.60,NO
2018-1,327.00,67.55,NO
2018-1,330.00,67.45,NO
2018-1,341.00,67.45,NO
2018-1,345.00,67.40,NO
2018-1,353.00,67.40,NO
2018-1,335.00,67.40,NO
2018-1,334.00,67.35,NO
2018-1,330.00,67.35,NO
2018-1,342.00,67.35,NO
2018-1,337.00,67.35,NO
2018-1,333.00,67.30,NO
2018-1,329.00,67.30,NO
2018-1,324.00,67.30,NO
2018-1,337.00,67.30,NO
2018-1,326.00,67.30,NO
2018-1,337.00,67.25,NO
2018-1,339.00,67.25,NO
2018-1,340.00,67.25,NO
2018-1,335.00,67.20,NO
2018-1,331.00,67.20,NO
2018-1,333.00,67.20,NO
2018-1,325.00,67.20,NO
2018-1,327.00,67.15,NO
2018-1,341.00,67.15,NO
2018-1,343.00,67.15,NO
2018-1,331.00,67.15,NO
2018-1,323.00,67.10,NO
2018-1,324.00,67.10,NO
2018-1,332.00,67.10,NO
